file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\Adapter.java,adapter.Adapter,class,2,3,1,2,5,1,0,7,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,23,2,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\proxy\ICommandExecutor.java,proxy.ICommandExecutor,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\lab\Adaptee.java,adapter.lab.Adaptee,class,0,1,1,0,15,1,0,2,0,0.5384615,0.0,0.0,13,0,13,0,0,0,13,0,0,0,2,0,0,2,0,0,0,0,1,49,6,1,1,0,0,0,5,8,1,4,1,0,0,0,18,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\lab\Adapter.java,adapter.lab.Adapter,class,3,4,1,3,7,1,0,9,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,33,3,0,0,0,0,0,0,5,0,5,0,0,0,0,16,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\proxy\CommandExecutorProtectionProxy.java,proxy.CommandExecutorProtectionProxy,class,2,3,1,2,6,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,19,0,0,0,0,0,4,0,2,0,2,1,0,0,0,19,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\proxy\lab\ICollectionAccess.java,proxy.lab.ICollectionAccess,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\singleton\EnumSingleton.java,singleton.EnumSingleton,enum,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\templatemothed\lab\PrintAlphabet.java,templatemothed.lab.PrintAlphabet,class,2,3,1,2,7,1,0,4,10,0.0,0.0,0.0,5,0,4,1,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,2,4,0,2,1,0,0,0,12,1025,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\templatemothed\lab\SymmetryType.java,templatemothed.lab.SymmetryType,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\proxy\Client.java,proxy.Client,class,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,6,0,1,0,1,1,0,0,0,11,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\proxy\CommandExecutor.java,proxy.CommandExecutor,class,1,2,1,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\lab\ITargetStack.java,adapter.lab.ITargetStack,interface,0,2,2,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\Adaptee.java,adapter.Adaptee,class,0,1,1,0,13,1,0,2,0,0.51515156,0.0,0.0,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,0,0,1,43,5,1,1,0,0,0,5,7,1,4,1,0,0,0,17,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\singleton\Singleton.java,singleton.Singleton,class,1,2,1,1,3,1,0,0,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,9,1,0,1,0,0,0,0,2,0,1,1,0,0,0,5,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\Client.java,adapter.Client,class,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,8,0,1,0,1,0,0,0,0,6,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\lab\ITargetQueue.java,adapter.lab.ITargetQueue,interface,0,2,2,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\Target.java,adapter.Target,interface,0,2,2,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\lab\Client.java,adapter.lab.Client,class,3,3,0,3,1,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,2,0,2,0,0,0,0,10,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\templatemothed\AOrderProcessor.java,templatemothed.AOrderProcessor,class,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\templatemothed\IOrder.java,templatemothed.IOrder,interface,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
